MEMS 1	MEMS 2	MEMS 3	MEMS 4bis	MEMS 4	MEMS 5	MEMS 6	MEMS 7	MEMS 8	MEMS 15bis	MEMS 9	MEMS 10bis	MEMS 11bis	MEMS 17bis	MEMS 18bis	MEMS 19bis
1.001	7.401	-3.260	5.352	-7.509	-13.667	7.882	17.966	2.318	-4.272	3.557	4.337	11.340	1.598	1.980	-1.983
0.005	4.402	-3.270	7.351	-6.509	-14.666	5.887	16.955	0.315	-4.270	3.553	3.345	8.331	1.593	4.985	-5.990
0.009	-1.597	-2.279	9.350	-5.510	-13.666	2.892	15.944	-1.688	4.732	3.550	3.354	5.321	0.588	6.990	-9.997
0.013	-1.597	-2.289	11.349	-4.510	-11.665	-0.103	13.933	-3.691	8.733	2.546	3.363	2.311	-0.417	8.995	-14.005
0.017	-6.596	-2.298	12.347	-2.511	-9.665	-5.098	10.923	-6.693	12.735	2.543	4.371	0.302	-1.422	11.000	-18.012
0.022	-6.595	-1.308	14.346	-1.511	-3.664	-9.093	2.912	-8.696	15.736	1.539	4.380	-1.708	-2.427	13.005	-21.019
-0.975	-9.594	-1.317	14.345	-1.512	-3.664	-14.088	2.901	-9.699	17.738	0.536	5.389	-3.717	-3.432	14.010	-23.027
-0.970	-10.594	-0.327	14.343	0.488	0.337	-22.083	-0.110	-10.702	18.740	-0.468	6.397	-4.727	-4.437	13.015	-24.034
-0.966	-10.593	-0.336	14.342	0.487	4.337	-22.078	-4.120	-10.705	18.741	-1.472	7.406	-5.736	-5.442	13.020	-25.042
-1.962	-10.592	0.654	11.341	0.487	7.338	-24.073	-7.131	-9.707	15.743	-2.475	9.415	-6.746	-6.447	13.025	-24.049
-1.958	-9.592	0.645	9.339	0.486	10.338	-26.068	-10.142	-8.710	15.744	-3.479	10.423	-5.755	-6.452	11.030	-22.056
-1.954	-8.591	1.635	9.338	-0.514	12.338	-26.063	-11.153	-3.713	10.746	-5.482	10.432	-4.765	-6.457	7.035	-21.064
-2.950	-7.590	2.625	6.337	-1.515	14.339	-24.058	-12.163	-0.716	10.748	-5.486	10.441	-3.774	-6.462	5.040	-21.071
-5.946	-4.590	2.616	0.335	-2.515	14.339	-21.053	-9.174	-0.719	3.749	-5.489	10.449	-2.784	-6.467	3.045	-17.078
-5.942	-4.589	2.606	-1.666	-3.516	13.340	-21.048	-6.185	7.279	0.751	-6.493	10.458	-2.793	-5.472	3.050	-15.086
-5.938	-3.588	2.597	-4.667	-4.516	12.340	-13.043	-2.196	10.276	-2.247	-6.497	9.467	-0.803	-4.477	0.055	-13.093
-8.934	-2.587	2.587	-6.668	-6.517	12.341	-8.038	-2.206	13.273	-5.246	-6.500	9.475	0.187	-3.482	-0.940	-12.100
-9.930	-1.587	2.578	-8.670	-6.517	7.341	-3.033	6.783	15.270	-7.244	-6.504	6.484	1.178	-2.487	-0.934	-11.108
-9.926	-0.586	1.568	-10.671	-7.518	5.342	1.972	11.772	16.268	-9.243	-5.507	5.493	2.168	-1.491	-0.929	-10.115
-10.922	0.415	1.559	-10.672	-7.518	3.342	6.977	15.761	17.265	-10.241	-5.511	4.501	3.159	0.504	-0.924	-9.122
-10.918	0.415	0.549	-10.674	-6.519	1.343	10.982	19.751	16.262	-10.239	-5.514	3.510	4.149	1.499	0.081	-8.130
-11.914	1.416	0.539	-9.675	-4.519	0.343	14.987	22.740	14.259	-11.238	-4.518	2.519	5.140	2.494	0.086	-7.137
